YPS183.T0	YPS183.T24	YPS183.T48	YPS183.T63	YPS183.T87
YBR034C	0.849353315084	0.673215361978	0.178041233005	1.65122314944	1.05764589658
YBR040W	3.48103135041	0.715816595202	-0.546085666989	-0.156001151275	0.075669703368
YBR067C	1.06198658878	1.06912761559	0.4703501742	1.82838199654	0.449511127329
YBR085CA	1.4322706896	0.661696611174	2.10789417135	1.02051292875	-0.170653182275
YBR099C	1.52331722316	0.597004632589	-0.734911887478	0.996041297277	0.521702939983
YBR291C	1.37637840011	1.12396594229	0.64956381903	1.85018271976	0.41916055179
YBR294W	1.80631636729	0.613676793963	1.29539515489	1.19539193976	0.090729923824
YCL025C	3.15690447559	1.03621148542	1.11929540539	2.05218807132	0.0407808389443
YCL055W	2.62348552522	0.384371727792	-0.230109759555	0.193977449926	-0.133321039493
YCR005C	3.86625026221	-0.027926217597	2.67218510464	1.51025522025	-0.257537061423
YCR089W	3.59218676268	1.11879265407	-0.402558032187	0.0456953512714	-0.117271426544
YDL022W	2.06618338246	0.529726729241	1.03743203473	-0.435177445168	-1.06857957606
YDL131W	1.55953888884	0.384785848632	0.696916343718	0.270639261203	-0.726922460345
YDL174C	0.92585444187	0.996739496999	1.67996834213	0.773180431326	0.120713421455
YDL182W	2.37141367819	0.754564543667	1.38940450244	1.98680074841	-0.54539558303
YDL184C	1.30482962392	0.50275148524	1.64129438516	0.146444789871	-0.4450710838
YDR034C	0.757487618993	0.117771547944	1.54149170936	0.138076557319	0.011444459054
YDR072C	1.53732596256	0.615878848723	0.390425786361	0.720434585742	0.165431297073
YDR124W	1.86447551073	0.455122024568	-0.0251499844808	0.252702977398	0.21318088529
YDR234W	1.77052306674	0.374919501329	0.485518316258	1.44755587952	-0.705881129797
YDR342C	1.90070301078	0.311704084441	1.81954007429	-0.312392336861	0.277710487682
YDR343C	1.81612164574	-0.0713000453977	2.1289795062	-0.673657381007	-0.112854161174
YDR345C	2.21486109374	0.439570118975	0.522519407833	0.443770480716	-0.0420763531149
YDR461W	2.14130351466	0.600837891895	-2.16911846196	0.377931736004	-1.32003740039
YDR497C	0.373844303592	0.383431533068	1.52519902194	1.51157644804	0.21263085265
YDR502C	1.93815303264	0.800550763843	1.53162545874	1.28066869688	-0.133400429082
YDR508C	1.88652924784	0.674684702918	-0.248992280053	1.49674468761	-0.26195684477
YDR516C	0.663446369189	0.131283987188	1.90240470859	0.0366458567702	0.18842717098
YDR545W	0.0540059449267	-0.309129885345	-0.241460713692	1.54743637449	-0.791125908769
YEL011W	0.681950351855	0.0487879559511	2.23216262536	-0.0862184409164	-0.0468071373456
YEL063C	2.23101056787	0.700142537896	1.13393600079	1.38223936114	0.764927323065
YEL065W	0.862832907167	0.530642492772	0.92492510417	2.10457171876	0.683590130411
YEL071W	2.42486581077	0.709492689629	1.81699113395	1.64717559391	-0.115636755135
YER026C	0.665712191243	0.0370170310118	2.83107402982	1.36166820255	-0.280380837015
YER044C	-0.41133531171	-0.241554547485	1.50134378248	-0.22175054206	0.0565163527979
YER053CA	0.37058339668	0.130922021529	2.00307814684	0.179439767641	0.201549599964
YER091C	3.35670534009	-0.651507010268	2.92541648743	2.28602684207	-1.10758665062
YER150W	2.22504047755	1.6119244022	1.43069114778	1.93043413666	0.577551960866
YFL014W	-0.948084178575	-0.58265929175	1.60791740577	-0.58979641592	-1.02481119967
YFR030W	2.61979618742	0.35588912551	1.09347884674	1.46481685782	0.00985560751548
YFR053C	-0.544698943104	-0.856612200193	1.97877915623	-1.14862485461	-1.27616373868
YGL032C	1.88136480662	0.440562523203	-1.46283862016	-0.986291718768	-0.512292145126
YGL055W	1.00702940946	0.462405582332	0.507480594055	1.57824541476	1.52044667986
YGL062W	2.06179047347	0.83177736731	0.657724625905	1.5110376125	-0.0375298995846
YGL077C	1.08582879401	-0.012644485424	1.5533512636	1.75008604709	0.410872464031
YGL113W	3.42538842824	0.199958240342	-0.30605834653	0.118946829518	0.124237164601
YGL125W	1.41572944949	0.123006478452	3.04076215391	0.631894074075	0.315712628766
YGL255W	0.453640335831	0.159019873073	1.87980197364	0.464443486379	0.564520993153
YGR055W	1.68000013936	0.538393429374	0.592979220583	1.08896374549	-0.287762787241
YGR065C	1.50754205732	0.894054359221	-0.235990388022	0.76320767473	0.581624769416
YGR109WA	3.7038964876	0.916559878508	-0.798144109183	2.4105449169	0.131628744244
YGR109WB	3.86260892619	1.37071867737	-0.0611834886461	2.76704840285	0.497007171183
YGR159C	1.10203447228	-0.132023712276	0.225139399464	2.33014949623	0.990964389779
YGR188C	2.51699308139	0.00773027684862	0.247304491207	0.110595377718	0.198405251015
YHL016C	2.51930617466	1.09399359726	0.751425865954	0.548321038872	0.241049890706
YHR053C	1.30005366706	0.410380105767	0.292201963802	2.25943360728	0.724144993037
YHR055C	1.45157757341	0.160662007563	0.765005345866	2.42013365169	0.68336360807
YHR094C	1.96794984481	-0.0766923906071	1.2700210506	-0.83432178444	-1.02646021321
YIL048W	1.57521432375	0.378817169296	1.00703804994	0.593249359323	-0.0113151900803
YIL080W	3.88543981693	1.51611963297	-0.348324192292	2.62698545053	0.513657573039
YIL082W	3.68072282765	0.595843993727	-0.243961104447	2.55279848501	0.1814395098
YIL082WA	3.91016574643	1.76091878242	-0.700489711756	2.76002345829	0.955571560563
YIL108W	1.59222983933	0.768080962167	-0.272046660195	0.335828757467	0.157707053327
YIL169C	-0.150946078263	-0.184812726944	1.98523489087	-0.317596966852	-0.285472532456
YJL007C	2.73127645173	0.0418420561114	0.451440597185	0.706007512516	0.515778294287
YJL116C	0.259526587092	1.15030059621	0.261568905996	2.31921928049	1.54816860175
YJL130C	1.5362592819	0.170653392077	0.968326361134	1.11241767433	-0.443483760821
YJL171C	1.57277129226	-0.329764804912	0.906082639695	0.273306755401	0.299526465221
YJR010W	2.54624542929	-0.353116498079	1.13917710667	0.999173954942	-0.843877999797
YJR073C	0.6270047335	0.225707295225	0.321753406762	1.57831358198	-0.683757616881
YJR137C	3.04541864162	0.522060634625	0.629066460236	1.81266079533	-0.475776335932
YKL001C	2.13404553716	2.40272313437	0.302488084403	0.857627578496	-0.590544155565
YKL008C	-0.0662956743478	-0.374813742682	2.38386433011	-0.460662448076	0.120431062288
YKL053W	2.26806964558	-0.096249325359	-0.0856813753473	0.0411459202919	0.0209666625556
YKL071W	0.0903164305274	1.53040756301	0.343155390959	0.378980584255	-0.0162706916282
YKL109W	0.533701739578	0.0359735813334	1.50722927642	-0.0146655294697	-0.145091985473
YKL128C	1.96648106167	0.0261195904997	0.0133503811824	-0.200702629719	0.0883554679876
YKR028W	1.93835297888	1.07395925887	0.493336613027	1.69754192001	0.751866897023
YKR042W	1.81166060845	-0.0236217146142	-0.900826349823	1.46667662328	-0.428616708074
YLR023C	1.67626727883	0.37364347958	0.69827533514	0.340533029775	0.480272811047
YLR091W	1.02724992346	0.75258459595	1.61476551267	0.509053164621	0.246926925266
YLR180W	1.75445984583	-0.324479036519	1.12589640795	1.4919097798	-1.41783712034
YLR220W	0.972089339369	0.279402358727	1.53202444693	0.570779732981	0.140059682322
YLR303W	3.50529381192	1.18771220181	3.05987371608	1.65907567965	-0.445397164078
YLR395C	-0.331526035368	0.103329494039	2.18283500615	0.128507876089	-0.240740580649
YML047C	2.23767097938	-0.0393199043506	-0.517989873509	-0.284060650692	-0.129679958086
YML089C	1.65215814107	0.447731575263	0.150069471394	0.290488465022	0.388445857508
YML100W	-0.429127347281	-0.433147890234	1.81388196753	-0.641313455121	-0.404733802183
YMR011W	2.87555506267	0.464173455837	2.14599835588	0.664333327556	-0.376908135962
YMR096W	2.01332315907	0.269431407698	0.378354066014	1.54943034195	-0.592064184773
YMR105C	-0.253537787169	-0.257790198924	1.82022110516	-0.891249653524	-0.29264679651
YMR186W	1.18991295628	0.389260704736	0.0434627878003	1.64775541664	0.65455339644
YMR305C	2.00511764585	0.115908810525	-0.724348963245	0.438747914318	1.34586917493
YMR318C	0.872646268349	0.536536291479	-0.126467739389	1.53662930218	0.545059102156
YNL002C	0.639636260236	1.18140459451	0.112127696455	1.64314368285	0.963978384101
YNL036W	1.67263678623	1.32249956522	0.588144925669	1.80206488287	0.605990457584
YNL104C	1.76025967327	0.0593171722979	0.281276649218	0.794929374879	-0.293983319099
YNL112W	1.05962630161	0.965989263686	0.106367464874	2.20293604679	1.88447219532
YNL142W	2.36150624459	0.77775145151	2.50179473193	1.032254901	0.550352229065
YNL145W	2.20137076327	0.6783791132	-0.458870935632	0.0712449848268	-1.46571734572
YNL192W	2.17770431461	-0.404821071871	-0.359056215303	-0.436293005802	-0.27838819949
YNL208W	2.45411173705	1.31007844965	0.793426476018	1.0843195655	1.19993334359
YNL274C	-0.162534538611	-0.0703035551851	1.64876897602	0.0339693410108	-0.34920363925
YNL279W	2.2852526044	-0.157236676184	-0.00682530342872	0.0380341916761	-0.205441918874
YNR044W	2.89280839411	-0.490890616585	-1.99129681512	-1.47553447791	-0.376202874936
YNR050C	2.09548562994	0.835853209399	1.59674223452	2.18958179857	0.101308719837
YOL002C	1.62746241063	1.63367130881	1.07849357706	2.08500161316	1.33526149436
YOL049W	0.339319614708	-0.113857420386	-0.154740096951	1.98374795912	1.0789278585
YOL058W	1.73319343802	-0.207012558003	-0.617897713927	-0.033575085246	-1.34751683533
YOL123W	-0.265039610658	0.0996832580708	-0.0870182616795	1.55598310013	0.824825730754
YOL136C	1.74277891598	0.493975485406	0.251390987927	0.391745638748	0.469472721072
YOR204W	0.809320741767	0.531306529464	0.0807205731918	1.5673014749	1.23612080099
YOR273C	0.423448721366	-0.302653637998	2.13422427097	-0.139266516004	-0.180268153099
YOR298CA	1.1321034803	0.89871435817	1.21491806686	1.72245598363	0.994681239227
YOR303W	1.52298210066	1.25299691823	0.364183450588	0.961710764953	0.301465124502
YOR375C	1.77114705906	-0.591647592498	0.0720505017129	0.169898210618	-0.906579396684
YPL061W	2.535381824	1.02926371083	0.826482159644	2.6370399268	-0.566827164232
YPL072W	1.77882987866	-0.20248550189	0.20956460285	0.0387351345356	-0.178714135263
